===== Starting symbols: ===
"(" 5.681818181818182e-3 
"``" 9.659090909090909e-2 
"abn" 5.681818181818182e-3 
"ap" 1.1363636363636364e-2
"at" 0.26136363636363635 
"at-hl" 5.681818181818182e-3 
"cc" 1.1363636363636364e-2
"cd" 2.2727272727272728e-2
"cs" 1.1363636363636364e-2
"dt" 1.1363636363636364e-2
"dts" 5.681818181818182e-3 
"ex" 5.681818181818182e-3 
"in" 6.25e-2 
"jj" 5.681818181818182e-3 
"nn" 2.8409090909090908e-2
"nn-hl" 1.1363636363636364e-2
"nn-tl" 8.522727272727272e-2 
"nns" 1.7045454545454544e-2
"nns-hl" 5.681818181818182e-3 
"np" 0.11363636363636363 
"np$" 5.681818181818182e-3 
"np-hl" 4.5454545454545456e-2
"pp$" 1.7045454545454544e-2
"pps" 8.522727272727272e-2 
"ppss" 1.1363636363636364e-2
"ppss+bem" 5.681818181818182e-3 
"rb" 1.1363636363636364e-2
"vb-hl" 5.681818181818182e-3 
"vbg" 5.681818181818182e-3 
"vbz-hl" 5.681818181818182e-3 
"wrb" 1.7045454545454544e-2

===== Final symbols: ======
"''" 0.13068181818181818 
"ap" 5.681818181818182e-3 
"cd" 5.6818181818181816e-2
"jj" 5.681818181818182e-3 
"nn" 0.30113636363636365 
"nn-tl" 6.25e-2 
"nns" 0.16477272727272727 
"nns-tl" 5.681818181818182e-3 
"np" 8.522727272727272e-2 
"np-tl" 5.681818181818182e-3 
"nr" 2.8409090909090908e-2
"ppo" 5.681818181818182e-3 
"rb" 2.2727272727272728e-2
"rbr" 5.681818181818182e-3 
"vb" 1.1363636363636364e-2
"vbd" 5.113636363636364e-2 
"vbg" 5.681818181818182e-3 
"vbn" 3.977272727272727e-2 
"wrb" 5.681818181818182e-3 

===== Transitions: ========
"," "ppss" 4.975124378109453e-3 
"," "rb" 1.990049751243781e-2 
"," "to" 4.975124378109453e-3 
"," "vb" 4.975124378109453e-3 
"," "vbd" 7.960199004975124e-2 
"," "vbg" 2.9850746268656716e-2
"," "vbn" 1.4925373134328358e-2
"," "wdt" 2.9850746268656716e-2
"," "wps" 3.980099502487562e-2 
"," "wrb" 2.4875621890547265e-2
",-hl" "np-hl" 1.0 
"--" "at" 0.2727272727272727 
"--" "cc" 9.090909090909091e-2 
"--" "in" 9.090909090909091e-2 
"--" "nn" 0.18181818181818182 
"--" "nn-tl" 9.090909090909091e-2 
"--" "nns" 0.18181818181818182 
"--" "wrb" 9.090909090909091e-2 
":" "(" 0.25 
":" "cd" 0.25 
":" "nn" 0.25 
":" "rb" 0.25 
"``" "at" 7.547169811320754e-2 
"``" "beg" 1.8867924528301886e-2
"``" "ber" 5.660377358490566e-2 
"``" "bez" 1.8867924528301886e-2
"``" "cc" 1.8867924528301886e-2
"``" "cd" 3.773584905660377e-2 
"``" "cs" 3.773584905660377e-2 
"``" "dt" 5.660377358490566e-2 
"``" "dts" 3.773584905660377e-2 
"``" "ex" 3.773584905660377e-2 
"``" "hvz" 3.773584905660377e-2 
"``" "in" 7.547169811320754e-2 
"``" "jj" 3.773584905660377e-2 
"``" "jjt" 1.8867924528301886e-2
"``" "md-hl" 1.8867924528301886e-2
"``" "nn" 5.660377358490566e-2 
"``" "nns" 1.8867924528301886e-2
"``" "np" 1.8867924528301886e-2
"``" "pn" 1.8867924528301886e-2
"``" "ppss" 5.660377358490566e-2 
"``" "ppss+ber" 1.8867924528301886e-2
"``" "rb" 5.660377358490566e-2 
"``" "to" 1.8867924528301886e-2
"``" "vb" 9.433962264150944e-2 
"``" "vbg" 1.8867924528301886e-2
"``" "vbn" 1.8867924528301886e-2
"``" "vbz" 1.8867924528301886e-2
"abn" "at" 0.25 
"abn" "nns" 0.25 
"abn" "np" 0.25 
"abn" "pp$" 0.25 
"abx" "nns" 1.0 
"ap" "'" 3.0303030303030304e-2
"ap" "cd" 3.0303030303030304e-2
"ap" "in" 0.21212121212121213 
"ap" "jj" 0.12121212121212122 
"ap" "jjt" 3.0303030303030304e-2
"ap" "nn" 0.24242424242424243 
"ap" "nn-tl" 3.0303030303030304e-2
"ap" "nns" 0.21212121212121213 
"ap" "np" 6.060606060606061e-2 
"ap" "nr" 3.0303030303030304e-2
"at" "``" 7.352941176470588e-3 
"at" "ap" 7.352941176470588e-3 
"at" "cd" 1.715686274509804e-2 
"at" "jj" 0.1323529411764706 
"at" "jj-tl" 9.80392156862745e-3 
"at" "jjs" 4.901960784313725e-3 
"at" "jjt" 7.352941176470588e-3 
"at" "nn" 0.5122549019607843 
"at" "nn$" 1.96078431372549e-2 
"at" "nn-tl" 8.823529411764706e-2 
"at" "nns" 6.1274509803921566e-2
"at" "nns$" 2.4509803921568627e-3
"at" "np" 2.9411764705882353e-2
"at" "np-tl" 5.1470588235294115e-2
"at" "nps" 7.352941176470588e-3 
"at" "od" 9.80392156862745e-3 
"at" "ql" 2.4509803921568627e-3
"at" "rb" 2.4509803921568627e-3
"at" "vbg" 1.2254901960784314e-2
"at" "vbn" 1.4705882352941176e-2
"at-hl" "vbg-hl" 1.0 
"at-tl" "jj-tl" 0.5 
"at-tl" "nn-tl" 0.5 
"be" "at" 5.8823529411764705e-2
"be" "cd" 2.9411764705882353e-2

"be" "in" 2.9411764705882353e-2
"be" "jj" 2.9411764705882353e-2
"be" "nns" 5.8823529411764705e-2
"be" "rb" 2.9411764705882353e-2
"be" "vbn" 0.7647058823529411 
"bed" "*" 0.2 
"bed" "at" 0.2 
"bed" "rb" 0.2 
"bed" "rbr" 0.2 
"bed" "vbn" 0.2 
"bedz" "*" 3.0303030303030304e-2
"bedz" "at" 0.21212121212121213 
"bedz" "cd" 3.0303030303030304e-2
"bedz" "in" 3.0303030303030304e-2
"bedz" "jj" 3.0303030303030304e-2
"bedz" "nn" 6.060606060606061e-2 
"bedz" "rb" 6.060606060606061e-2 
"bedz" "vbg" 3.0303030303030304e-2
"bedz" "vbn" 0.5151515151515151 
"bedz*" "at" 1.0 
"beg" "in" 0.3333333333333333 
"beg" "jj" 0.16666666666666666 
"beg" "vbn" 0.5 
"ben" "at" 0.1111111111111111 
"ben" "in" 0.2222222222222222 
"ben" "nn" 0.1111111111111111 
"ben" "vbn" 0.5555555555555556 
"ber" "*" 0.1 
"ber" ":" 0.1 
"ber" "``" 0.1 
"ber" "dti" 0.1 
"ber" "jj" 0.1 
"ber" "ql" 0.1 
"ber" "rb" 0.1 
"ber" "vbg" 0.2 
"ber" "vbn" 0.1 
"bez" "*" 4.3478260869565216e-2
"bez" "``" 4.3478260869565216e-2
"bez" "at" 0.13043478260869565 
"bez" "beg" 4.3478260869565216e-2
"bez" "cd" 0.13043478260869565 
"bez" "in" 8.695652173913043e-2 
"bez" "jj" 4.3478260869565216e-2
"bez" "np" 4.3478260869565216e-2
"bez" "ql" 4.3478260869565216e-2
"bez" "rb" 4.3478260869565216e-2
"bez" "vbg" 0.13043478260869565 
"bez" "vbn" 0.21739130434782608 
"cc" "``" 1.1363636363636364e-2
"cc" "ap" 5.6818181818181816e-2
"cc" "at" 0.10227272727272728 
"cc" "bedz" 2.2727272727272728e-2
"cc" "cd" 2.2727272727272728e-2
"cc" "cs" 3.409090909090909e-2 
"cc" "ex" 1.1363636363636364e-2
"cc" "in" 2.2727272727272728e-2
"cc" "jj" 6.818181818181818e-2 
"cc" "jjs" 1.1363636363636364e-2
"cc" "nn" 0.17045454545454544 
"cc" "nn-tl" 3.409090909090909e-2 
"cc" "nns" 6.818181818181818e-2 
"cc" "np" 0.11363636363636363 
"cc" "np-tl" 2.2727272727272728e-2
"cc" "pp$" 2.2727272727272728e-2
"cc" "pps" 2.2727272727272728e-2
"cc" "ppss" 2.2727272727272728e-2
"cc" "rb" 2.2727272727272728e-2
"cc" "vb" 5.6818181818181816e-2
"cc" "vbd" 2.2727272727272728e-2
"cc" "vbg" 1.1363636363636364e-2
"cc" "vbn" 4.5454545454545456e-2
"cc-tl" "nn-tl" 1.0 
"cd" ")" 2.666666666666667e-2 
"cd" "," 5.333333333333334e-2 
"cd" "ap" 2.666666666666667e-2 
"cd" "at" 2.666666666666667e-2 
"cd" "cc" 4.0e-2 
"cd" "cd" 5.333333333333334e-2 
"cd" "in" 0.2 
"cd" "jj" 8.0e-2 
"cd" "nn" 0.18666666666666668 
"cd" "nn$" 1.3333333333333334e-2
"cd" "nns" 0.24 
"cd" "np" 1.3333333333333334e-2
"cd" "to" 1.3333333333333334e-2
"cd" "vbd" 2.666666666666667e-2 
"cd-tl" "," 1.0 
"cs" "*" 1.2195121951219513e-2
"cs" "," 1.2195121951219513e-2
"cs" ":" 1.2195121951219513e-2
"cs" "``" 3.6585365853658534e-2
"cs" "ap" 1.2195121951219513e-2
"cs" "at" 0.2926829268292683 
"cs" "beg" 1.2195121951219513e-2
"cs" "cd" 2.4390243902439025e-2
"cs" "cs" 2.4390243902439025e-2
"cs" "dt" 1.2195121951219513e-2
"cs" "dti" 1.2195121951219513e-2
"cs" "ex" 1.2195121951219513e-2
"cs" "in" 1.2195121951219513e-2
"cs" "jj" 3.6585365853658534e-2
"cs" "jjr" 1.2195121951219513e-2
"cs" "nn" 8.536585365853659e-2 
"cs" "nn-tl" 2.4390243902439025e-2
"cs" "nns" 6.097560975609756e-2 
"cs" "np" 8.536585365853659e-2 
"cs" "pn" 1.2195121951219513e-2
"cs" "pp$" 1.2195121951219513e-2
"cs" "pps" 8.536585365853659e-2 
"cs" "ppss" 3.6585365853658534e-2
"cs" "ql" 1.2195121951219513e-2
"cs" "vbg" 3.6585365853658534e-2
"cs" "wrb" 1.2195121951219513e-2
"do" "dt" 0.5 
"do" "pn" 0.5 
"dod" "*" 0.6666666666666666 
"dod" "vb" 0.3333333333333333 
"dod*" "hv" 0.5 
"dod*" "vb" 0.5 
"doz" "vb" 1.0 
"dt" "bedz" 6.25e-2 
"dt" "bez" 0.125 
"dt" "cs" 6.25e-2 
"dt" "md" 0.125 
"dt" "nn" 0.5625 
"dt" "vbd" 6.25e-2 
"dti" "in" 0.25 
"dti" "nn" 0.25 

"dti" "nns" 0.5 
"dts" "," 0.125 
"dts" "cd" 0.125 
"dts" "jj" 0.125 
"dts" "nns" 0.625 
"ex" "``" 9.090909090909091e-2 
"ex" "bed" 9.090909090909091e-2 
"ex" "bedz" 0.36363636363636365 
"ex" "bedz*" 9.090909090909091e-2 
"ex" "md" 0.2727272727272727 
"ex" "rb" 9.090909090909091e-2 
"hv" "at" 0.3 
"hv" "ben" 0.1 
"hv" "dts" 0.1 
"hv" "in" 0.1 
"hv" "to" 0.3 
"hv" "vbn" 0.1 
"hvd" "ben" 0.4 
"hvd" "jj" 0.2 
"hvd" "rb" 0.2 
"hvd" "vbn" 0.2 
"hvz" "*" 0.1875 
"hvz" "at" 6.25e-2 
"hvz" "ben" 0.3125 
"hvz" "rb" 6.25e-2 
"hvz" "vbn" 0.375 
"in" "'" 2.183406113537118e-3 
"in" "abn" 6.550218340611353e-3 
"in" "abx" 6.550218340611353e-3 
"in" "ap" 1.7467248908296942e-2
"in" "at" 0.3471615720524017 
"in" "cd" 5.895196506550218e-2 
"in" "cs" 2.183406113537118e-3 
"in" "dt" 1.0917030567685589e-2
"in" "dti" 6.550218340611353e-3 
"in" "dts" 4.366812227074236e-3 
"in" "in" 8.733624454148471e-3 
"in" "jj" 5.458515283842795e-2 
"in" "jj-tl" 6.550218340611353e-3 
"in" "nn" 0.14847161572052403 
"in" "nn-tl" 3.4934497816593885e-2
"in" "nns" 5.240174672489083e-2 
"in" "nns-tl" 2.183406113537118e-3 
"in" "np" 0.10043668122270742 
"in" "np$" 1.7467248908296942e-2
"in" "np-tl" 1.3100436681222707e-2
"in" "nps" 2.183406113537118e-3 
"in" "nr" 8.733624454148471e-3 
"in" "nr$" 2.183406113537118e-3 
"in" "pp$" 3.056768558951965e-2 
"in" "ppo" 8.733624454148471e-3 
"in" "rb" 2.183406113537118e-3 
"in" "vbg" 2.4017467248908297e-2
"in" "vbn" 4.366812227074236e-3 
"in" "wdt" 1.5283842794759825e-2
"in-hl" "nn-hl" 1.0 
"in-tl" "at-tl" 9.090909090909091e-2 
"in-tl" "nn-tl" 0.5454545454545454 
"in-tl" "nns-tl" 9.090909090909091e-2 
"in-tl" "np-tl" 0.2727272727272727 
"jj" "'" 1.1299435028248588e-2
"jj" "''" 3.389830508474576e-2 
"jj" "," 1.1299435028248588e-2
"jj" "``" 1.1299435028248588e-2
"jj" "cc" 2.824858757062147e-2 
"jj" "cs" 5.649717514124294e-3 
"jj" "in" 1.694915254237288e-2 
"jj" "jj" 5.649717514124294e-2 
"jj" "nn" 0.4971751412429379 
"jj" "nn$" 1.1299435028248588e-2
"jj" "nn-tl" 5.649717514124294e-3 
"jj" "nns" 0.24293785310734464 
"jj" "nns-tl" 5.649717514124294e-3 
"jj" "np" 5.649717514124294e-3 
"jj" "np-tl" 1.1299435028248588e-2
"jj" "nr" 5.649717514124294e-3 
"jj" "pp$" 5.649717514124294e-3 
"jj" "to" 2.824858757062147e-2 
"jj" "vbg" 5.649717514124294e-3 
"jj-tl" "jj-tl" 5.555555555555555e-2 
"jj-tl" "nn-tl" 0.6666666666666666 
"jj-tl" "nns-tl" 0.1111111111111111 
"jj-tl" "np-tl" 0.1111111111111111 
"jj-tl" "rb" 5.555555555555555e-2 
"jjr" "nn" 0.6666666666666666 
"jjr" "nns" 0.3333333333333333 
"jjs" "nn" 0.6666666666666666 
"jjs" "vbg" 0.3333333333333333 
"jjt" "," 0.16666666666666666 
"jjt" "nn" 0.6666666666666666 
"jjt" "nns" 0.16666666666666666 
"md" "*" 1.3513513513513514e-2
"md" "be" 0.2972972972972973 
"md" "hv" 4.054054054054054e-2 
"md" "rb" 1.3513513513513514e-2
"md" "vb" 0.6351351351351351 
"md*" "be" 0.5 
"md*" "vb" 0.5 
"md-hl" "vb-hl" 1.0 
"nn" "''" 3.5897435897435895e-2
"nn" ")" 1.7094017094017094e-3
"nn" "," 0.1076923076923077 
"nn" "--" 1.7094017094017094e-3
"nn" "``" 5.128205128205128e-3 
"nn" "ap" 5.128205128205128e-3 
"nn" "at" 1.0256410256410256e-2
"nn" "be" 5.128205128205128e-3 
"nn" "bedz" 2.0512820512820513e-2
"nn" "beg" 3.418803418803419e-3 
"nn" "ber" 1.7094017094017094e-3
"nn" "bez" 1.3675213675213675e-2
"nn" "cc" 3.418803418803419e-2 
"nn" "cs" 2.2222222222222223e-2
"nn" "dod" 1.7094017094017094e-3
"nn" "ex" 1.7094017094017094e-3
"nn" "hvd" 3.418803418803419e-3 
"nn" "hvz" 3.418803418803419e-3 
"nn" "in" 0.29572649572649573 
"nn" "jj" 6.837606837606838e-3 
"nn" "md" 3.247863247863248e-2 
"nn" "md*" 3.418803418803419e-3 
"nn" "nn" 0.13162393162393163 
"nn" "nn-tl" 1.7094017094017094e-3
"nn" "nns" 8.547008547008547e-2 
"nn" "np" 5.128205128205128e-3 
"nn" "np-tl" 1.7094017094017094e-3
"nn" "nr" 6.837606837606838e-3 
"nn" "pps" 1.7094017094017094e-3

"nn" "ppss" 5.128205128205128e-3 
"nn" "rb" 1.1965811965811967e-2
"nn" "rbr" 3.418803418803419e-3 
"nn" "rp" 1.7094017094017094e-3
"nn" "to" 2.564102564102564e-2 
"nn" "vbd" 4.957264957264957e-2 
"nn" "vbg" 1.1965811965811967e-2
"nn" "vbn" 8.547008547008548e-3 
"nn" "vbz" 1.0256410256410256e-2
"nn" "wdt" 1.5384615384615385e-2
"nn" "wps" 3.418803418803419e-3 
"nn" "wrb" 1.7094017094017094e-3
"nn$" "jj" 0.14285714285714285 
"nn$" "nn" 0.7142857142857143 
"nn$" "nns" 0.14285714285714285 
"nn$-tl" "nn" 0.6666666666666666 
"nn$-tl" "nn-tl" 0.3333333333333333 
"nn-hl" "''" 0.125 
"nn-hl" ")-hl" 0.25 
"nn-hl" "ap" 0.125 
"nn-hl" "at" 0.125 
"nn-hl" "nns-hl" 0.25 
"nn-hl" "vbn-hl" 0.125 
"nn-tl" "," 0.11242603550295859 
"nn-tl" "``" 1.1834319526627219e-2
"nn-tl" "at" 1.1834319526627219e-2
"nn-tl" "bez" 1.775147928994083e-2 
"nn-tl" "cc" 3.550295857988166e-2 
"nn-tl" "cc-tl" 5.917159763313609e-3 
"nn-tl" "hv" 5.917159763313609e-3 
"nn-tl" "hvz" 1.1834319526627219e-2
"nn-tl" "in" 2.3668639053254437e-2
"nn-tl" "in-tl" 6.50887573964497e-2 
"nn-tl" "jj" 1.1834319526627219e-2
"nn-tl" "jj-tl" 1.775147928994083e-2 
"nn-tl" "md" 1.775147928994083e-2 
"nn-tl" "nn" 8.284023668639054e-2 
"nn-tl" "nn$-tl" 1.775147928994083e-2 
"nn-tl" "nn-tl" 0.20118343195266272 
"nn-tl" "nns" 2.9585798816568046e-2
"nn-tl" "nns-tl" 1.1834319526627219e-2
"nn-tl" "np" 0.24260355029585798 
"nn-tl" "nr" 1.1834319526627219e-2
"nn-tl" "to" 1.1834319526627219e-2
"nn-tl" "vbd" 2.9585798816568046e-2
"nn-tl" "vbg" 5.917159763313609e-3 
"nn-tl" "vbg-tl" 5.917159763313609e-3 
"nns" "''" 6.465517241379311e-2 
"nns" "," 0.11206896551724138 
"nns" ":" 4.310344827586207e-3 
"nns" "``" 1.293103448275862e-2 
"nns" "ap" 4.310344827586207e-3 
"nns" "at" 1.293103448275862e-2 
"nns" "be" 8.620689655172414e-3 
"nns" "bed" 1.7241379310344827e-2
"nns" "bedz" 1.293103448275862e-2 
"nns" "ber" 8.620689655172414e-3 
"nns" "cc" 6.465517241379311e-2 
"nns" "cd" 2.1551724137931036e-2
"nns" "cs" 3.4482758620689655e-2
"nns" "in" 0.28879310344827586 
"nns" "jj" 8.620689655172414e-3 
"nns" "md" 4.741379310344827e-2 
"nns" "nn" 1.7241379310344827e-2
"nns" "nns" 1.7241379310344827e-2
"nns" "nps" 4.310344827586207e-3 
"nns" "nr" 4.310344827586207e-3 
"nns" "ql" 4.310344827586207e-3 
"nns" "rb" 3.017241379310345e-2 
"nns" "rp" 4.310344827586207e-3 
"nns" "to" 6.465517241379311e-2 
"nns" "vb" 1.7241379310344827e-2
"nns" "vbd" 3.879310344827586e-2 
"nns" "vbg" 1.7241379310344827e-2
"nns" "vbn" 3.879310344827586e-2 
"nns" "wdt" 1.293103448275862e-2 
"nns" "wps" 4.310344827586207e-3 
"nns$" "nns" 1.0 
"nns-hl" "in" 0.3333333333333333 
"nns-hl" "rb" 0.3333333333333333 
"nns-hl" "vbn-hl" 0.3333333333333333 
"nns-tl" "," 0.125 
"nns-tl" "bedz" 0.125 
"nns-tl" "nn-tl" 0.625 
"nns-tl" "np" 0.125 
"np" "(" 7.692307692307693e-3 
"np" ")" 7.692307692307693e-3 
"np" "," 0.16153846153846155 
"np" "bedz" 1.1538461538461539e-2
"np" "ber" 3.8461538461538464e-3
"np" "bez" 1.1538461538461539e-2
"np" "cc" 4.6153846153846156e-2
"np" "cc-tl" 3.8461538461538464e-3
"np" "cd" 4.230769230769231e-2 
"np" "cd-tl" 3.8461538461538464e-3
"np" "cs" 7.692307692307693e-3 
"np" "doz" 3.8461538461538464e-3
"np" "hvz" 1.5384615384615385e-2
"np" "in" 9.230769230769231e-2 
"np" "jj" 7.692307692307693e-3 
"np" "md" 2.3076923076923078e-2
"np" "nn" 2.6923076923076925e-2
"np" "nn$" 3.8461538461538464e-3
"np" "nn-tl" 1.1538461538461539e-2
"np" "nns" 2.3076923076923078e-2
"np" "np" 0.3153846153846154 
"np" "np$" 7.692307692307693e-3 
"np" "nps" 3.8461538461538464e-3
"np" "nr" 3.8461538461538464e-3
"np" "rb" 1.1538461538461539e-2
"np" "to" 1.5384615384615385e-2
"np" "vbd" 0.10384615384615385 
"np" "vbg" 7.692307692307693e-3 
"np" "vbz" 7.692307692307693e-3 
"np" "wps" 3.8461538461538464e-3
"np" "wrb" 3.8461538461538464e-3
"np$" "``" 7.692307692307693e-2 
"np$" "jj" 0.23076923076923078 
"np$" "nn" 0.46153846153846156 
"np$" "nns" 7.692307692307693e-2 
"np$" "ql" 7.692307692307693e-2 
"np$" "vbn" 7.692307692307693e-2 
"np-hl" "(-hl" 0.13333333333333333 
"np-hl" ",-hl" 0.4666666666666667 
"np-hl" "--" 0.4 
"np-tl" "''" 2.564102564102564e-2 
"np-tl" "," 2.564102564102564e-2 
"np-tl" "jj-tl" 0.1282051282051282 

"np-tl" "nn-tl" 0.7435897435897436 
"np-tl" "nns-tl" 5.128205128205128e-2 
"np-tl" "vbd" 2.564102564102564e-2 
"nps" "be" 0.16666666666666666 
"nps" "ber" 0.16666666666666666 
"nps" "md" 0.5 
"nps" "wps" 0.16666666666666666 
"nr" "," 5.263157894736842e-2 
"nr" "--" 5.263157894736842e-2 
"nr" "at" 0.15789473684210525 
"nr" "bez" 5.263157894736842e-2 
"nr" "cc" 5.263157894736842e-2 
"nr" "in" 0.2631578947368421 
"nr" "nn" 0.21052631578947367 
"nr" "nns" 5.263157894736842e-2 
"nr" "to" 0.10526315789473684 
"nr$" "nn" 1.0 
"od" "nn" 0.5 
"od" "nn$" 0.16666666666666666 
"od" "nns" 0.16666666666666666 
"od" "vbd" 0.16666666666666666 
"pn" "in" 0.6 
"pn" "pps" 0.2 
"pn" "vbd" 0.2 
"pp$" "cd" 3.125e-2 
"pp$" "jj" 0.21875 
"pp$" "nn" 0.53125 
"pp$" "nn$" 3.125e-2 
"pp$" "nns" 3.125e-2 
"pp$" "od" 6.25e-2 
"pp$" "ql" 3.125e-2 
"pp$" "vbg" 3.125e-2 
"pp$" "vbn" 3.125e-2 
"ppl" "at" 0.6666666666666666 
"ppl" "in" 0.3333333333333333 
"ppo" "''" 0.15384615384615385 
"ppo" "(" 7.692307692307693e-2 
"ppo" "," 7.692307692307693e-2 
"ppo" "at" 0.15384615384615385 
"ppo" "in" 0.23076923076923078 
"ppo" "md" 7.692307692307693e-2 
"ppo" "rb" 7.692307692307693e-2 
"ppo" "to" 0.15384615384615385 
"pps" "," 2.2222222222222223e-2
"pps" "bedz" 6.666666666666667e-2 
"pps" "bez" 2.2222222222222223e-2
"pps" "dod" 2.2222222222222223e-2
"pps" "hvd" 4.4444444444444446e-2
"pps" "hvz" 4.4444444444444446e-2
"pps" "md" 0.17777777777777778 
"pps" "rb" 4.4444444444444446e-2
"pps" "vbd" 0.4444444444444444 
"pps" "vbz" 0.1111111111111111 
"ppss" "ber" 6.666666666666667e-2 
"ppss" "do" 6.666666666666667e-2 
"ppss" "dod*" 0.13333333333333333 
"ppss" "hv" 6.666666666666667e-2 
"ppss" "md" 0.13333333333333333 
"ppss" "rb" 0.13333333333333333 
"ppss" "vb" 0.4 
"ppss+bem" "jj" 1.0 
"ppss+ber" "vbg" 1.0 
"ql" "jj" 0.5555555555555556 
"ql" "rb" 0.3333333333333333 
"ql" "vbn" 0.1111111111111111 
"rb" "," 8.955223880597014e-2 
"rb" "--" 1.4925373134328358e-2
"rb" "ap" 1.4925373134328358e-2
"rb" "at" 4.477611940298507e-2 
"rb" "be" 1.4925373134328358e-2
"rb" "bedz" 1.4925373134328358e-2
"rb" "beg" 1.4925373134328358e-2
"rb" "bez" 1.4925373134328358e-2
"rb" "cc" 1.4925373134328358e-2
"rb" "cs" 7.462686567164178e-2 
"rb" "in" 0.11940298507462686 
"rb" "jj" 5.970149253731343e-2 
"rb" "md" 2.9850746268656716e-2
"rb" "nn" 1.4925373134328358e-2
"rb" "nn-tl" 1.4925373134328358e-2
"rb" "to" 4.477611940298507e-2 
"rb" "vb" 1.4925373134328358e-2
"rb" "vbd" 0.19402985074626866 
"rb" "vbg" 1.4925373134328358e-2
"rb" "vbn" 0.14925373134328357 
"rb" "vbz" 1.4925373134328358e-2
"rb" "wps" 1.4925373134328358e-2
"rbr" "in" 0.25 
"rbr" "rp" 0.25 
"rbr" "vbd" 0.25 
"rbr" "vbn" 0.25 
"rbt" "in" 1.0 
"rp" "," 0.15384615384615385 
"rp" "cc" 7.692307692307693e-2 
"rp" "cs" 7.692307692307693e-2 
"rp" "in" 0.38461538461538464 
"rp" "nn" 7.692307692307693e-2 
"rp" "nns" 7.692307692307693e-2 
"rp" "pp$" 7.692307692307693e-2 
